# fseq id,  LOR unit,   LOR circuit
# tip: LOR unit 255 (0xFF) broadcasts to all connected units
0,          255,        1
1,          255,        2
2,          255,        3
3,          255,        4
4,          255,        5
5,          255,        6
6,          255,        7
7,          255,        8
8,          255,        9
9,          255,        10
10,         255,        11
11,         255,        12
12,         255,        13
13,         255,        14
14,         255,        15
15,         255,        16
